ABC,7min16
ACBJ,27min23
addtonay,1min27
Adweek,13min35
Alarabiya,9min48
AllNurses,9min26
Allstate,4min14
Amazon,10min51
AOL,15min26
APA,5min6
Apple,7min20
Archive,5min11
Arstechnica,13min49
Ask,11min54
bandcamp,12min17
BBCC,32min32
biblehub,5min3
Bitcoin,2min33
Bitpay,15min35
BlackFriday,10min45
Blinklist,3min15
Bloglovin,8min49
BoardGamegeek,7min49
BoingBoing,7min44
Booking,7min39
Boston,9min16
BTR,13min10
CAGOV,6min17
Canada,7min50
Cargo,8min41
CaribouCoffee,5min23
CBS,14min1
CBSLocal,13min31
chegg,23min43
CincyMuseum,9min38
Cisco,5min25
CommunityCoffee,4min46
Conduit,4min59
ConstantCOntact,22min34
CreativeCommons,10min25
Disney,12min57
Drupal,10min45
EconRes,4min19
Envato,18min27
Europa,6min37
fc2,14min42
FIneart,6min54
Fotki,5min11
FreePress,5min55
Freewebs,28min17
Google,4min26
GuardianLiv,4min54
healthy,7min29
hp,17min58
ImageShack,4min37
ISGD,2min6
ISSUU,15min22
kraftrecipes,13min17
lastfm,11min51
latimes,9min44
lego,3min51
liquor,8min14
MapQuest,12min10
mayoclinic,6min27
meetup,13min35
moonfruit,12min55
MS,21min46
neworleans,11min18
nymag,8min34
OAIC,1min58
oracle,6min20
Overstock,11min14
Patch,7min51
playstation,12min45
prnews,18min32
PRWEB,10min20
PumpkinHead,7min20
quantcast,5min20
reference,10min10
SeattleTimes,8min38
ShutterFlyInc,11min51
SlashDotMdeia,8min18
SoundCloud,17min38
Storify,11min23
TheWeatherChannel,9min
TicketMaster,9min20
TripAdvisor,9min46
tulsaworld,11min33
ucla,2min16
UCSD,3min39
USAToday,5min41
Vimeo,8min12
WebEden,8min34
WebNode,10min28
Wikimedia,24min10
WooCommerce,15min
wufoo,5min28
Yahoo,
Yola,10min18
zimbio,5min50
